,classif,text
0,invoice,"\ REGISTRATION OF ThE INTERNATIONAL TRADEMARK
WP T S RENEWAL

 

order Number

slate
wisn suns

+ resistration tumbs

 

+ Pubilation tonk
mum
+ registration da
osa

 

 

a

 

+

+ Payment Datais:

 

 

Subject Amount
Henenalfes f Oder rian fn
recessog ree 2500 eun
Adttont tes oso ein
'Total Filing Fee 1.05400 Eur

 

 

+ Aayment mothods:

 

 

Payment by Whe Transtor Payment by Chag
Wisse, Pee

oo wires.. rosoren
ome sea reo com oo ano osis 0200 tno
nosen . coroscan Crh nepunic

Accounro: aszuatosis
Bank addres Mkhulta 16,015 63 bats, rak fepunic

Pease pay th Amount, wit 24 days. Don't taget to cute he order tamie:
Incase ot pyrent meri eos bo ete he vals added tx denifcton number VAT.

 

* Register o the international Trademaric

The fena hs an adil n be aca Gai min a anal ty Bae Sams Feed an Toan one tirre Tm
fans te fat oles S raie re iits i ra anaes wn be patala o he atea faa Arbor
repoicn if as Jas or i soy wite ondtep tth cri heve be eu a
yor itraton orer oma on mine nt ceo t Sanae eves evant e vese e po 100 n

rn ana0t ca. Ov Cede acs ia nate of reve oe i cracca y e ncaa e rm n ets
oti mnal etate pice te cat o hava oc te cani vel rf] 7 te stn u be rc eve
anes babe arcal ninae tb paced y Ganga peter t sete on e nt pne t
l mes t nate nthe trm wate orn y a e t Alie G, Ont cate t e acro a bn aie rant fy
Adv to eitce ut te Gre Pan festa hee ient nut ape vl hr meany

 

 

 

W r 0, Otani S43, ites, 13000 Mata 2, Czech Republ, VAT Re, No. muat ie"
1,invoice,"VENDOR REFERENCE
IPWTO s.r.0.

ISSUE DATE
June , 2016
EXP/DUE DATE
July -, 2016
PO NUMBER
n/a

 

      

DETAILS - DESCRIPTION gs Ee _ PRICE _ CUR
FILLING DATE PWTO SERVICE 1.699,00 - EUR
realstRation Date REGISTRATION 100,00 - EUR
EXPIRATION DATE Account Name DISCOUNT 1.799,00 - EUR

ACCOUNT SECRET 101%. s
APPLICATION NUMBER (deprerfahren zum ersetzen einer fuidumleitung und verschlusskoppler - SERVICE 1.799,00 - EUR
PUBLICATION NUMBER for replacing a fuid conduit, and closure coupler (Fiprocédé de remplacement dun -- regisTRATION 0.00 _ EUR
GAZETTE PUBLICATION Week conduit de fuide et coupleur de fermeture DISCOUNT 0,00 - EUR
TOTAL 1.799,00 - EUR
SUBTOTAL 1.799,00 EUR
prease Quore AS A PYAMENT REFERENCE/MSG. TO PAYEE Tax 000 -- EUR
IF YOU WISH TO PAY BY CREDIT CARD OR OTHER PAYMENT OPTION
PLEASE SEND US EMAIL TO PAYMENT@IPWT.ORG TO 99,00 __ EU
PAYMENTBY WIRE TRANSFER PAYMENT BY CHEQUE QR PAYMENT
Beneficiary: IPWTO s.r.0. IPWTO s.r.0.
IBAN:
BIC/SWIFT:
Account number:
Bank name: Ceskoslovenska obchodna banka
Bank address:

 

 

 

 

The international patent has been published in WIPO- Gazette, which is edited by Bureau of the World Intellectual Property Organization. This publishing forms the basis offour offer]Please note, registation is not affliated
with the publication of the of the offal Intemational Patent Application registation andis not a registation by a government entity] This form is solely e offer for he concluding of the contract being the year registation of
your intemational patent application in our intemet database and access to all database services. Applicant in the sense of the provision § 1744 law no. 89/2012 Coll, Cvit Code. accepts tis motion of Provider to the
concluding of the contracual relationship by the execution of the non-cash setlement of the annual registration price to the account of Provider. By the settlement of the price Applicant agrees that the contractual relationship

 

 

 

 

 

 

shallbe govemed by the company general tems of business, specifed on the second page offtis application] the issues not modified by these terms shall be govemed by the law no. 89/2012 Coll, Civil Code. By the

 

 

 

acceptance offs motion] Applicant hereby declares to familiarize himself with the General Terms of Business and to read them; furhermore,he dedares to agree with their wording. Due to legal reasons, all and any back-

 

payment claims and complaints fled directly or via the bank, will neither be processed or accepted by us. The bank cannot refund you without our approval. Please save our as well as your precious tme and choose the
shotest way fora setting of your complaint and approach us directly at ip@ipwtorg.

INTELLECTUAL PROPERTY WORLD TRADE ORGANIZATION EMAIL CS@IPWT.ORG - WEB IPWT.ORG"
2,invoice,"Trademark Edition

t ¥ 22 f)
INTERNATIONAL CATALOGUE OF TRADEMARKS - 2016

Trademark Edition Ltd.

Tax ID:

Bank:

SWIFT:

IBAN:

Date: = September. 2016.

TRADEMARK

OWNER CLASSES OF GOODS AND SERVICES:

'The above mentioned data conslite a sangleregstraton. If you tanser he amount inated, you actomaticaly approve ths offer for

Hsing in the Trademad ition 2016 catalogue. In case of any changes, please kindy inom us via e-mail (bfotademariedton. __}
Afar pining you wil recave a complinentay copy of the publcaton.

Payment Instructions:
In case of bank transfer from an EU member state, please kindly indicate your EU Tex ID as announcement at
transfer process.

 

Registration cos EUR 1 380,00
Extra charges: EUR __00.00
Total: EUR 1 380,00

Post: Trademark Edition Lid.

IBAN: SWIFT:
www rademarkedition. e-mail info@trademarkediton."
3,invoice,"|

TUB Vista

0 Reference Number

Ent:

Web: | innivitastoponiaecom fee Ther
vat ¢. ssoco
var c ano
Total Amount Payable . €.... ss000
Termsof Payment mises

fetrerce number
Conc
Ofice surly contr

dor in wire murtrene nose
oin feo onset a

 

 

 

Description ay Amount
Business Package, Office Sue, Pro 1 © asoco
movies tmesrnioe

Artes tonos Noo rove

Iglll

masine

Amount ec. vat c- ssaco
var c ano

 

Total Amount Payable &_ ssone

oe
angen taa

 

Total Amount Payable c- ssoce

Terms of payment 24 days net: ameosen

Pease mae you paynent within days to the bark scout buon:"
4,invoice,"Her Ouantisan 15
7006 EA Doetncten
Tre Netterands

al
Ta: os se as 3676

INVOICE

moce mme zm3seo
ome orazans

 

 

 

 

 

 

to: swe to:
Sas thers Baste
Her dunantaan 15 Her dunantaan 15
7oo6EA Dontnctem 7oo6eh Doctncten
Notes:
Thisisa customer note
so _ | comm sescurnon wnt rece m
ar 2 | tmomaree ars cas
sn 3 - | umomasso ases oss
sueror car
strong wes"
5,invoice,"(W commerce

Invoice

Invoice Date
Order Amount (GBP)

Price

9.9150
28.93

Subtotal
VAT

Quantity
2
£

BS 10002

10/24/2013
59.00

Line Total

19.83
28.93

48.76
10.24

 

l Tatal [GRP]

Eo Nn l"
6,invoice,"Sample Company Limited
35 Kingsland Road
E2 8AA London

United Kingdom

Sample Customer
John Meyer

35 Kingsland Road
E2 8AA London

United Kingdom

Your invoice can have a header and a footer.
Item Description
Great product This is a sample product.

10 hours of web development

Web development
work.

Product 3 Even more products.

Company
Logo

Invoice # 000001

Invoice Date 01/01/2013

Amount Due $650.00

Unit Cost Quantity Line total
10.00 10 100.00
50.00 10 500.00
5.00 10 50.00
Subtotal 650.00

Total $650.00

Please pay your invoice within 7 days days of the date of invoice.

Thank you for choosing Sample Limited for your needs."
7,invoice,"CONTRACTOR INVOICE

Cpe

xx, Street Address, District No
City, ST ZIP Code
OM soocoocmo00 Fax 00-00-0008

Phone: ..

E-mail firstname. lastname@companyname.com Hii
Photos: results@companyname.com Pas: romoomacom

Attention: RUTHIE Dates - mm-dd-yyyy #Page

son Ljob title} SUBJECT PROPERTY ADDRESS

contractor {name] [xx, Street Address, District No]

DATE COMPLETED _ [MM-DD-YY] [City, ST ZIP Code]

 

INVOICE DETAILS

 

Office
use

Item | Qty. | Work Item Description Amt

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

Notes:

 

 

 

 

 

 

Incomplet invoices wll not be accepted. All nformation must be filed out"
8,invoice,"ime mocemneen |536524
Aatecs moceoate zor
Gy. 9we z cumorcenta |reeare
veunceosnno. |raserer
Terms eso
susspe [cove
snercoun |a
ros
rreenoo«couscricou.
Gies Tates max:
10 |cue0 scooco | ro somo
tam [arsto sooo scam
38 [8000 Bo
suerora. «oromo
mx «orm
recon
m samme
omecr a. mounes to mae au cuecks pavante to.
Nore You Carman he mose
Clouse: Ain RecsenPoonntie

endl soncoredronenane con

WAY HI Baste Invoice

Alen
Gy, Swe zn

manevouron youn

Saestute .. 69"
9,invoice,"Teo go
R

se secs
s

aire
mines

rouicoms

wo

anv

wos
none"
10,invoice,"BUSINESS

 

INVOICE
Hemiton on ase1o
cen ans

Email Agcress
Parrent cue ranreceie

su to sup to

Ark Nane Dest Atk Nane Dest
Coreary are Consors are
123 Man Sten 123 Man Sten
Hanon, on «eas Hanon, on «sas
cen asereso cn asereso
Enatadtess

vescrunon

 

Worens Tatou

 

 

 

Reais OTE « Ne customer setup -
te

Alesse mate crest opaste o Your Conpony tane

THANK YOU"
11,invoice,"ABC International Co., Ltd.

 

No.555, No Name Road. Cis Country

Tel: +1222 455 4709, Fax: +1 444 555 7700, Email: company @examplecom

 

 

COMMERCIAL INVOICE
Invoice # . sunsosesse Date: 2s reas
To: - M. DavidJames RO Ne: maesier
Address Cig, Sate 2ip. USK Lene: icsioscssss
Prices Basis: £03, Tx. Us Payments L/C7 Days
Shipped pers . Feces Quantity: 1360 5cs

From ct soos, use

80 cron

11254 m
ricsn 200 s aseso 200
| hem #2s 3609s ' 300
Ganon so Pos o

sso s«so000
siso ss 00000
sasco so225c0
saeco szee000
soco
soco
soco
soco
saco

 

Total Amount:
Total Packed In:
Container No:
SeatNo:
Shipping Mark

Sub Totals 519,.05,00
Discounts _ $200.00

Tax: $1250.00
Comissio 5e05.00

Tentyone thousands two hundrad and sity US dollar only

""Thirteen hundrad sixty nine pices and eighty carton
csssase

P Box 1254, No Name Road, 123 Building TX 77784, USA

Authoried Signatures

Thank You for Your Business!"
